V1,V2,V3
-64.9916666666667,47.4916666666667,34
-64.975,47.4916666666667,30
-64.9583333333333,47.4916666666667,23
-64.9416666666667,47.4916666666667,11
-64.925,47.4916666666667,2
-64.9083333333333,47.4916666666667,3
-64.8916666666667,47.4916666666667,-5
-64.875,47.4916666666667,-1
-64.8583333333333,47.4916666666667,-2
-64.8416666666667,47.4916666666667,-3
-64.825,47.4916666666667,-6
-64.8083333333333,47.4916666666667,-7
-64.7916666666667,47.4916666666667,-10
-64.775,47.4916666666667,-11
-64.7583333333333,47.4916666666667,-13
-64.7416666666667,47.4916666666667,-14
-64.725,47.4916666666667,-16
-64.7083333333333,47.4916666666667,-18
-64.6916666666667,47.4916666666667,-20
-64.675,47.4916666666667,-22
-64.6583333333333,47.4916666666667,-23
-64.6416666666667,47.4916666666667,-25
-64.625,47.4916666666667,-27
-64.6083333333333,47.4916666666667,-28
-64.5916666666667,47.4916666666667,-30
-64.575,47.4916666666667,-31
-64.5583333333333,47.4916666666667,-32
-64.5416666666667,47.4916666666667,-34
-64.525,47.4916666666667,-35
-64.5083333333333,47.4916666666667,-37
-64.4916666666667,47.4916666666667,-38
-64.475,47.4916666666667,-39
-64.4583333333333,47.4916666666667,-41
-64.4416666666667,47.4916666666667,-42
-64.425,47.4916666666667,-43
-64.4083333333333,47.4916666666667,-45
-64.3916666666667,47.4916666666667,-46
-64.375,47.4916666666667,-47
-64.3583333333333,47.4916666666667,-48
-64.3416666666667,47.4916666666667,-51
-64.325,47.4916666666667,-53
-64.3083333333333,47.4916666666667,-54
-64.2916666666667,47.4916666666667,-54
-64.275,47.4916666666667,-56
-64.2583333333333,47.4916666666667,-59
-64.2416666666667,47.4916666666667,-60
-64.225,47.4916666666667,-61
-64.2083333333333,47.4916666666667,-63
-64.1916666666667,47.4916666666667,-63
-64.175,47.4916666666667,-60
-64.1583333333333,47.4916666666667,-56
-64.1416666666667,47.4916666666667,-52
-64.125,47.4916666666667,-47
-64.1083333333333,47.4916666666667,-43
-64.0916666666667,47.4916666666667,-41
-64.075,47.4916666666667,-40
-64.0583333333333,47.4916666666667,-39
-64.0416666666667,47.4916666666667,-40
-64.025,47.4916666666667,-41
-64.0083333333333,47.4916666666667,-42
-63.9916666666667,47.4916666666667,-43
-63.975,47.4916666666667,-45
-63.9583333333333,47.4916666666667,-48
-63.9416666666667,47.4916666666667,-52
-63.925,47.4916666666667,-55
-63.9083333333333,47.4916666666667,-57
-63.8916666666667,47.4916666666667,-58
-63.875,47.4916666666667,-60
-63.8583333333333,47.4916666666667,-61
-63.8416666666667,47.4916666666667,-61
-63.825,47.4916666666667,-62
-63.8083333333333,47.4916666666667,-64
-63.7916666666667,47.4916666666667,-67
-63.775,47.4916666666667,-69
-63.7583333333333,47.4916666666667,-70
-63.7416666666667,47.4916666666667,-70
-63.725,47.4916666666667,-70
-63.7083333333333,47.4916666666667,-70
-63.6916666666667,47.4916666666667,-70
-63.675,47.4916666666667,-69
-63.6583333333333,47.4916666666667,-69
-63.6416666666667,47.4916666666667,-66
-63.625,47.4916666666667,-64
-63.6083333333333,47.4916666666667,-64
-63.5916666666667,47.4916666666667,-65
-63.575,47.4916666666667,-66
-63.5583333333333,47.4916666666667,-67
-63.5416666666667,47.4916666666667,-69
-63.525,47.4916666666667,-70
-63.5083333333333,47.4916666666667,-70
-63.4916666666667,47.4916666666667,-70
-63.475,47.4916666666667,-70
-63.4583333333333,47.4916666666667,-70
-63.4416666666667,47.4916666666667,-71
-63.425,47.4916666666667,-72
-63.4083333333333,47.4916666666667,-75
-63.3916666666667,47.4916666666667,-76
-63.375,47.4916666666667,-74
-63.3583333333333,47.4916666666667,-72
-63.3416666666667,47.4916666666667,-72
-63.325,47.4916666666667,-73
-63.3083333333333,47.4916666666667,-75
-63.2916666666667,47.4916666666667,-77
-63.275,47.4916666666667,-78
-63.2583333333333,47.4916666666667,-79
-63.2416666666667,47.4916666666667,-80
-63.225,47.4916666666667,-80
-63.2083333333333,47.4916666666667,-79
-63.1916666666667,47.4916666666667,-77
-63.175,47.4916666666667,-73
-63.1583333333333,47.4916666666667,-69
-63.1416666666667,47.4916666666667,-67
-63.125,47.4916666666667,-66
-63.1083333333333,47.4916666666667,-62
-63.0916666666667,47.4916666666667,-58
-63.075,47.4916666666667,-56
-63.0583333333333,47.4916666666667,-54
-63.0416666666667,47.4916666666667,-53
-63.025,47.4916666666667,-52
-63.0083333333333,47.4916666666667,-53
-62.9916666666667,47.4916666666667,-53
-62.975,47.4916666666667,-51
-62.9583333333333,47.4916666666667,-49
-62.9416666666667,47.4916666666667,-49
-62.925,47.4916666666667,-49
-62.9083333333333,47.4916666666667,-49
-62.8916666666667,47.4916666666667,-49
-62.875,47.4916666666667,-50
-62.8583333333333,47.4916666666667,-51
-62.8416666666667,47.4916666666667,-52
-62.825,47.4916666666667,-53
-62.8083333333333,47.4916666666667,-55
-62.7916666666667,47.4916666666667,-57
-62.775,47.4916666666667,-56
-62.7583333333333,47.4916666666667,-56
-62.7416666666667,47.4916666666667,-56
-62.725,47.4916666666667,-57
-62.7083333333333,47.4916666666667,-59
-62.6916666666667,47.4916666666667,-61
-62.675,47.4916666666667,-64
-62.6583333333333,47.4916666666667,-66
-62.6416666666667,47.4916666666667,-68
-62.625,47.4916666666667,-70
-62.6083333333333,47.4916666666667,-71
-62.5916666666667,47.4916666666667,-73
-62.575,47.4916666666667,-74
-62.5583333333333,47.4916666666667,-75
-62.5416666666667,47.4916666666667,-78
-62.525,47.4916666666667,-77
