population,year,individual,sex,species,std.length,photo.id,std.length.raw,depth.spine.1,depth.spine.2,spine.length.1,spine.length.2,spine.length.3,spine.length.pelvic,lndmrk.x1,lndmrk.x2,lndmrk.x3,lndmrk.x4,lndmrk.x5,lndmrk.x6,lndmrk.x7,lndmrk.x8,lndmrk.x9,lndmrk.x10,lndmrk.x11,lndmrk.x12,lndmrk.x13,lndmrk.x14,lndmrk.x15,lndmrk.x16,lndmrk.x17,lndmrk.x18,lndmrk.x19,lndmrk.y1,lndmrk.y2,lndmrk.y3,lndmrk.y4,lndmrk.y5,lndmrk.y6,lndmrk.y7,lndmrk.y8,lndmrk.y9,lndmrk.y10,lndmrk.y11,lndmrk.y12,lndmrk.y13,lndmrk.y14,lndmrk.y15,lndmrk.y16,lndmrk.y17,lndmrk.y18,lndmrk.y19,correction,std.length,depth.1,depth.2,spine.1,spine.2,spine.3,spine.pelvic,x.1,y.1,x.2,y.2,x.3,y.3,x.4,y.4,x.5,y.5,x.6,y.6,x.7,y.7,x.8,y.8,x.9,y.9,x.10,y.10,x.11,y.11,x.12,y.12,x.13,y.13,x.14,y.14,x.15,y.15,x.16,y.16,x.17,y.17,x.18,y.18,x.19,y.19,notes
CL,2014,23,,W,4.73,5272,1986.383,432.666,429.671,204.353,213.063,60,320.031,967,1153,1330,1678,1897,2239,2728,2878,2932,2854,2731,2356,1873,1663,1432,1090,1165,1345,1693,1484,1367,1286,1190,1181,1172,1340,1397,1442,1469,1460,1544,1604,1622,1622,1592,1451,1430,1406,420.011,4.73,1.03,1.02,0.486542019,0.507,0.142853402,0.761958615,2.302320654,3.533240796,2.745166198,3.254676663,3.166583732,3.061824571,3.995133461,2.833259129,4.516548376,2.811831119,5.330812764,2.790403108,6.495067986,3.190392633,6.85220149,3.326103364,6.980769551,3.433243415,6.795060129,3.497527446,6.502210656,3.476099435,5.609376897,3.676094198,4.459407016,3.818947599,3.95942011,3.861803619,3.409434515,3.861803619,2.595170126,3.790376919,2.773736878,3.454671425,3.202297083,3.404672735,4.030846811,3.347531374,
CL,2014,24,,W,5.4,5273,2266.343,534,555.292,243.13,288.5,76.837,392.255,865,1057,1252,1624,1891,2305,2902,3067,3127,3028,2890,2515,1834,1606,1297,991,1060,1252,1654,1493,1388,1328,1208,1193,1211,1448,1514,1577,1598,1583,1664,1745,1739,1688,1634,1466,1460,1487,420.011,5.4,1.27,1.32,0.578865792,0.687,0.182940447,0.933916017,2.059469871,3.554668806,2.516600756,3.304675354,2.98087431,3.161821952,3.866565399,2.876115149,4.502263036,2.840401799,5.487951506,2.883257819,6.909342851,3.447528755,7.302189705,3.604667497,7.445043106,3.754663568,7.209334994,3.804662259,6.88077217,3.768948908,5.987938411,3.961801,4.366552305,4.154653092,3.823709379,4.140367752,3.088014362,4.018942361,2.359462014,3.8903743,2.523743426,3.490384776,2.98087431,3.476099435,3.9379921,3.540383466,
CL,2014,25,,W,3.49,5276,1486.744,354.114,333.122,136.821,121.491,63.781,223.294,1288,1408,1570,1840,1996,2254,2587,2698,2761,2716,2611,2353,1978,1825,1645,1393,1405,1555,1834,1418,1355,1310,1226,1232,1244,1304,1316,1343,1370,1406,1520,1574,1574,1562,1526,1421,1421,1427,426.095,3.49,0.83,0.78,0.321104449,0.285,0.149687276,0.524047454,3.02280008,3.327896361,3.304427416,3.180042009,3.684624321,3.074431758,4.318285828,2.877292623,4.684401366,2.891373989,5.28990014,2.919536723,6.071415999,3.060350391,6.331921285,3.088513125,6.479775637,3.151879276,6.374165386,3.215245426,6.127741466,3.299733627,5.522242692,3.567279597,4.642157265,3.694011899,4.283082411,3.694011899,3.860641406,3.665849165,3.269223999,3.581360964,3.297386733,3.334937045,3.649420904,3.334937045,4.304204461,3.349018411,
CL,2014,26,,W,4.12,5277,1731.956,375.971,345.834,152.971,170.552,55.317,234.691,1156,1309,1474,1780,2005,2245,2662,2821,2875,2803,2674,2347,1945,1789,1576,1288,1318,1477,1810,1430,1331,1259,1163,1154,1160,1256,1280,1316,1346,1367,1478,1538,1538,1535,1535,1385,1367,1331,420,4.12,0.9,0.82,0.364216667,0.406,0.131707143,0.558788095,2.752380952,3.404761905,3.116666667,3.169047619,3.50952381,2.997619048,4.238095238,2.769047619,4.773809524,2.747619048,5.345238095,2.761904762,6.338095238,2.99047619,6.716666667,3.047619048,6.845238095,3.133333333,6.673809524,3.204761905,6.366666667,3.254761905,5.588095238,3.519047619,4.630952381,3.661904762,4.25952381,3.661904762,3.752380952,3.654761905,3.066666667,3.654761905,3.138095238,3.297619048,3.516666667,3.254761905,4.30952381,3.169047619,
CL,2014,27,,W,5.19,5278,2196.461,522.034,573.031,234,230.512,67.082,342.841,790,967,1156,1570,1834,2245,2773,2905,2971,2911,2782,2470,1738,1531,1213,898,976,1153,1564,1406,1307,1253,1172,1163,1190,1349,1340,1361,1427,1472,1643,1736,1694,1601,1541,1385,1388,1439,423.043,5.19,1.23,1.35,0.553135261,0.545,0.158570169,0.810416435,1.867422461,3.323539215,2.285819645,3.089520451,2.73258274,2.961873852,3.711206662,2.770403954,4.3352567,2.749129521,5.306789144,2.81295282,6.554889219,3.188801138,6.866914238,3.167526705,7.022926747,3.217167049,6.881097193,3.373179559,6.576163652,3.479551724,5.838649972,3.883765953,4.108329413,4.103601762,3.619017452,4.004321074,2.867320816,3.784485265,2.122715658,3.642655711,2.307094078,3.273898871,2.725491262,3.280990348,3.697023707,3.401545469,
CL,2014,28,,W,4.67,5279,1991.214,444.162,423.383,240.973,254.629,69.971,296.196,1138,1303,1489,1861,2083,2386,2887,3031,3109,3055,2890,2530,2026,1852,1582,1279,1318,1510,1885,1406,1295,1217,1121,1133,1148,1238,1238,1262,1319,1376,1490,1565,1559,1562,1526,1364,1343,1343,426.011,4.67,1.04,0.99,0.565649713,0.598,0.164246933,0.695277822,2.671292525,3.300384262,3.058606468,3.03982761,3.495214912,2.856733746,4.368431801,2.631387452,4.889545106,2.659555739,5.600794346,2.694766098,6.776820317,2.906028248,7.114839758,2.906028248,7.297933621,2.962364822,7.171176331,3.096164184,6.783862389,3.229963546,5.938813786,3.49756227,4.755745744,3.673614062,4.347305586,3.659529918,3.713519134,3.66657199,3.002269894,3.58206713,3.093816826,3.201795259,3.544509414,3.152500757,4.424768375,3.152500757,
CL,2014,29,,W,3.82,5280,1604.361,390.565,369.597,177.685,216.333,59.093,247.823,1222,1372,1537,1825,2008,2281,2659,2788,2821,2776,2665,2368,1993,1816,1603,1342,1378,1543,1819,1493,1403,1334,1247,1250,1262,1361,1376,1406,1436,1460,1565,1628,1631,1634,1604,1463,1457,1445,420.011,3.82,0.93,0.88,0.423048444,0.515,0.140693934,0.590039309,2.90944761,3.554668806,3.266581113,3.340388704,3.659427967,3.176107292,4.345124294,2.96896986,4.780827169,2.97611253,5.430810145,3.004683211,6.330786575,3.240391323,6.637921388,3.276104673,6.716490759,3.347531374,6.609350707,3.418958075,6.345071915,3.476099435,5.637947578,3.726092888,4.745113818,3.87608896,4.323696284,3.88323163,3.816566709,3.8903743,3.195154413,3.818947599,3.280866453,3.483242106,3.673713308,3.468956765,4.330838954,3.440386085,
CL,2014,3,,W,4.2,5237,1665.097,390.012,390.012,174.413,166.817,72.498,270.067,1454,1620,1764,2074,2260,2510,2926,3038,3104,3038,2894,2588,2206,2036,1858,1560,1612,1764,2074,1380,1292,1254,1190,1194,1208,1366,1372,1406,1440,1452,1530,1580,1568,1556,1508,1356,1356,1366,396.011,4.2,0.98,0.98,0.440424635,0.421,0.183070672,0.68196843,3.671615182,3.484751686,4.090795458,3.262535637,4.454421721,3.166578706,5.237228259,3.004967034,5.706912182,3.015067763,6.338207777,3.050420317,7.388683648,3.449399133,7.671504074,3.464550227,7.838166112,3.550406428,7.671504074,3.636262629,7.307877811,3.666564818,6.535172003,3.863529043,5.570552333,3.989788162,5.141271328,3.959485974,4.691788864,3.929183785,3.939284515,3.807975031,4.070593999,3.424147309,4.454421721,3.424147309,5.237228259,3.449399133,
CL,2014,30,,W,4.06,5281,1716.514,402.101,390.104,170.763,212.132,64.9,264.613,1006,1153,1303,1633,1828,2098,2509,2653,2716,2662,2521,2191,1768,1609,1363,1111,1156,1312,1609,1499,1412,1361,1289,1298,1325,1424,1430,1448,1493,1529,1643,1688,1676,1649,1604,1472,1463,1445,423,4.06,0.95,0.92,0.403695036,0.501,0.153427896,0.625562648,2.378250591,3.543735225,2.725768322,3.338061466,3.080378251,3.21749409,3.860520095,3.047281324,4.321513002,3.06855792,4.959810875,3.132387707,5.93144208,3.36643026,6.271867612,3.380614657,6.420803783,3.423167849,6.293144208,3.529550827,5.959810875,3.61465721,5.179669031,3.884160757,4.179669031,3.990543735,3.803782506,3.962174941,3.222222222,3.898345154,2.626477541,3.791962175,2.73286052,3.479905437,3.101654846,3.458628842,3.803782506,3.41607565,
CL,2014,31,,W,4,5282,1692.322,360.2,354.457,192.094,217.412,0,318.226,1264,1381,1519,1840,2047,2359,2737,2872,2941,2896,2752,2461,1966,1813,1594,1342,1375,1519,1825,1376,1328,1292,1217,1217,1244,1337,1340,1349,1382,1421,1526,1580,1571,1553,1493,1391,1397,1394,423.011,4,0.85,0.84,0.454111122,0.514,0,0.752287766,2.988101964,3.252870493,3.264690516,3.139398266,3.590923167,3.054294096,4.349768682,2.876993742,4.839117659,2.876993742,5.576687131,2.94082187,6.470280915,3.160674309,6.789421552,3.167766323,6.952537877,3.189042365,6.846157665,3.267054521,6.505740985,3.359250705,5.817815612,3.607471201,4.647633277,3.735127455,4.285940555,3.713851413,3.768223521,3.671299328,3.172494332,3.529459045,3.250506488,3.288330564,3.590923167,3.302514592,4.314308611,3.295422578,
CL,2014,32,,W,4.05,5283,1713.378,381.012,393.011,127.562,250.567,55.317,277.042,1174,1336,1498,1795,1972,2278,2656,2809,2881,2833,2683,2332,1945,1777,1606,1285,1345,1498,1810,1502,1406,1337,1271,1259,1292,1418,1433,1454,1505,1517,1607,1646,1643,1637,1607,1478,1463,1454,423.011,4.05,0.9,0.93,0.30155717,0.592,0.130769649,0.654928595,2.77534154,3.550735087,3.158310304,3.323790634,3.541279068,3.160674309,4.24338847,3.004649997,4.661817305,2.976281941,5.385202749,3.054294096,6.278796532,3.352158691,6.640489254,3.387618762,6.810697594,3.437262861,6.697225368,3.557827101,6.34262466,3.586195158,5.512859004,3.798955583,4.597989178,3.891151767,4.200836385,3.884059753,3.796591578,3.869875724,3.037746063,3.798955583,3.179586346,3.493998974,3.541279068,3.458538903,4.278848541,3.437262861,
CL,2014,33,,W,3.85,5284,1630.461,351.82,348.827,120.15,156.461,38.419,252.642,1141,1255,1399,1691,1871,2183,2521,2713,2753,2709,2545,2321,1847,1683,1465,1231,1255,1403,1689,1428,1348,1282,1190,1180,1188,1284,1318,1350,1370,1374,1470,1542,1546,1542,1512,1392,1388,1374,423.011,3.85,0.83,0.82,0.284035167,0.37,0.090822697,0.59724688,2.697329384,3.375798738,2.966825922,3.186678361,3.307242601,3.030654049,3.997531979,2.813165615,4.423052828,2.789525568,5.160622301,2.808437606,5.959655895,3.035382059,6.413544801,3.115758219,6.50810499,3.19140637,6.404088783,3.238686464,6.016392009,3.248142483,5.486854952,3.475086936,4.366316715,3.645295276,3.978619941,3.654751295,3.463266913,3.645295276,2.910089809,3.574375134,2.966825922,3.290694568,3.31669862,3.281238549,3.99280397,3.248142483,
CL,2014,34,,W,3.81,5285,1613.035,381.189,360.312,207.933,208.019,54.332,260.5,1239,1383,1517,1839,2051,2305,2671,2773,2839,2789,2671,2413,1989,1823,1565,1321,1383,1525,1845,1388,1316,1272,1208,1210,1216,1296,1290,1314,1358,1396,1518,1584,1582,1568,1502,1380,1380,1382,423.043,3.81,0.9,0.85,0.491517411,0.492,0.128431389,0.615776647,2.928780289,3.280990348,3.269171219,3.110794884,3.58592389,3.006786544,4.347075829,2.855501687,4.84820692,2.860229338,5.448618698,2.874412294,6.313778978,3.063518366,6.554889219,3.04933541,6.710901729,3.106067232,6.592710434,3.210075572,6.313778978,3.299900956,5.703911895,3.588287715,4.701649714,3.744300225,4.309254615,3.739572573,3.699387533,3.70647901,3.122614013,3.550466501,3.269171219,3.262079741,3.604834497,3.262079741,4.361258785,3.266807393,
CL,2014,35,,W,3.6,5286,1524.074,327.055,330.123,138,153.675,60,204.793,1259,1401,1561,1799,1973,2229,2575,2715,2771,2709,2581,2317,1953,1799,1661,1359,1405,1561,1853,1406,1320,1274,1224,1212,1232,1340,1384,1418,1436,1430,1502,1558,1544,1530,1512,1376,1366,1364,423,3.6,0.77,0.78,0.326241135,0.363,0.141843972,0.484144208,2.976359338,3.323877069,3.312056738,3.120567376,3.690307329,3.011820331,4.252955083,2.893617021,4.6643026,2.865248227,5.269503546,2.912529551,6.087470449,3.1678487,6.418439716,3.271867612,6.550827423,3.352245863,6.404255319,3.394799054,6.101654846,3.380614657,5.477541371,3.550827423,4.617021277,3.68321513,4.252955083,3.650118203,3.926713948,3.617021277,3.212765957,3.574468085,3.321513002,3.252955083,3.690307329,3.229314421,4.380614657,3.224586288,
CL,2014,36,,W,4.33,5287,1830.01,378.012,360,176.567,213.063,83.355,259.114,1399,1541,1705,2033,2255,2587,2989,3141,3199,3131,2997,2679,2173,2017,1779,1491,1543,1697,1999,1504,1446,1398,1326,1328,1370,1478,1480,1514,1550,1578,1670,1696,1706,1688,1622,1512,1518,1522,423,4.33,0.89,0.85,0.417416076,0.504,0.197056738,0.612562648,3.307328605,3.555555556,3.643026005,3.418439716,4.030732861,3.304964539,4.806146572,3.134751773,5.330969267,3.139479905,6.115839243,3.238770686,7.066193853,3.494089835,7.425531915,3.498817967,7.562647754,3.579196217,7.401891253,3.6643026,7.085106383,3.730496454,6.333333333,3.947990544,5.137115839,4.009456265,4.768321513,4.033096927,4.205673759,3.990543735,3.524822695,3.834515366,3.647754137,3.574468085,4.011820331,3.588652482,4.725768322,3.598108747,
CL,2014,37,,W,3.76,5288,1581.231,387.186,387.186,161.555,163.218,42.426,234.691,1183,1337,1485,1783,1977,2231,2593,2719,2779,2703,2593,2309,1941,1775,1669,1301,1341,1501,1789,1442,1348,1286,1202,1192,1206,1350,1382,1426,1442,1452,1532,1592,1584,1586,1564,1428,1418,1400,420.011,3.76,0.92,0.92,0.384644688,0.389,0.10101164,0.558773461,2.816592899,3.433243415,3.183249963,3.209439753,3.535621686,3.061824571,4.245126913,2.861829809,4.707019578,2.838020909,5.311765644,2.871353369,6.173647833,3.214201533,6.473639976,3.290390014,6.616493378,3.395149175,6.435545736,3.433243415,6.173647833,3.457052315,5.497475066,3.647523517,4.621307537,3.790376919,4.226079793,3.771329799,3.973705451,3.776091579,3.097537922,3.723711998,3.192773523,3.399910955,3.573715926,3.376102054,4.259412253,3.333246034,
CL,2014,38,,W,4.94,5289,2076.132,501.036,492.082,168.962,251.285,84.853,362.442,1051,1233,1417,1795,2029,2365,2889,3059,3115,3047,2923,2583,1963,1759,1519,1185,1227,1415,1811,1566,1436,1350,1262,1252,1276,1386,1388,1434,1482,1500,1666,1762,1746,1718,1666,1492,1486,1508,420,4.94,1.19,1.17,0.402290476,0.598,0.202030952,0.862957143,2.502380952,3.728571429,2.935714286,3.419047619,3.373809524,3.214285714,4.273809524,3.004761905,4.830952381,2.980952381,5.630952381,3.038095238,6.878571429,3.3,7.283333333,3.304761905,7.416666667,3.414285714,7.254761905,3.528571429,6.95952381,3.571428571,6.15,3.966666667,4.673809524,4.195238095,4.188095238,4.157142857,3.616666667,4.09047619,2.821428571,3.966666667,2.921428571,3.552380952,3.369047619,3.538095238,4.311904762,3.59047619,
CL,2014,39,,W,3.89,5290,1647.615,363.198,351.115,157.835,171.604,64.622,270.599,1421,1569,1713,2027,2221,2471,2837,2989,3033,2987,2845,2553,2151,2007,1833,1531,1565,1721,2029,1414,1324,1276,1206,1212,1228,1320,1334,1360,1386,1402,1514,1572,1568,1562,1524,1392,1400,1398,423.011,3.89,0.86,0.83,0.373122685,0.406,0.152766713,0.639697313,3.359250705,3.342702672,3.709123403,3.129942247,4.049540083,3.016470021,4.791837565,2.850989691,5.25045448,2.865173719,5.84145566,2.902997794,6.706681387,3.120486228,7.066010104,3.153582295,7.170026311,3.215046417,7.061282094,3.27651054,6.725593424,3.314334615,6.035304046,3.579103144,5.08497415,3.716215418,4.74455747,3.706759399,4.333220649,3.69257537,3.619291224,3.602743191,3.699667385,3.290694568,4.068452121,3.309606606,4.796565574,3.304878597,
CL,2014,4,,W,5.51,5239,2232.107,516.009,540.008,218.403,231.525,86.533,362.442,933,1087,1250,1659,1936,2354,2896,3054,3138,3076,2949,2570,1870,1641,1351,1052,1082,1254,1650,1474,1386,1307,1188,1166,1192,1285,1294,1320,1368,1395,1553,1703,1681,1624,1593,1443,1426,1443,405.011,5.51,1.27,1.33,0.53925202,0.572,0.213655925,0.894894213,2.303641136,3.639407325,2.683877722,3.422129276,3.086335927,3.227072845,4.096185042,2.933253665,4.780117083,2.878934152,5.812187817,2.94312994,7.150423075,3.172753333,7.540535936,3.194974951,7.74793771,3.259170739,7.594855448,3.377686038,7.281283718,3.444350894,6.345506665,3.834463755,4.617158546,4.204824067,4.051741805,4.150504554,3.33571187,4.009767636,2.597460316,3.933226505,2.671532378,3.562866194,3.096212202,3.520892025,4.073963423,3.562866194,
CL,2014,40,,W,3.53,5292,1491.435,354.813,369.986,132.544,148.189,30,193.494,1546,1653,1791,2069,2245,2525,2867,2989,3025,2981,2875,2613,2197,2049,1833,1609,1659,1803,2053,1432,1353,1305,1213,1199,1213,1331,1367,1393,1421,1429,1505,1585,1569,1555,1519,1415,1411,1409,423.011,3.53,0.84,0.87,0.313334641,0.35,0.070920142,0.457420729,3.654751295,3.385254757,3.9076998,3.198498384,4.233932451,3.085026158,4.891125763,2.867537724,5.307190593,2.834441658,5.969111914,2.867537724,6.777601528,3.14649028,7.066010104,3.23159445,7.151114274,3.293058573,7.047098066,3.359250705,6.796513566,3.378162743,6.17714433,3.557827101,5.193718367,3.746947479,4.843845668,3.709123403,4.333220649,3.676027337,3.803683592,3.590923167,3.921883828,3.345066677,4.262300508,3.335610658,4.853301687,3.330882648,
CL,2014,41,,W,4.13,5294,1758.041,408.176,423.096,177.178,232.998,69.971,263.181,1311,1457,1597,1936,2139,2429,2874,2988,3054,3006,2856,2583,2108,1906,1672,1417,1448,1628,1950,1540,1439,1395,1289,1294,1280,1461,1483,1518,1545,1545,1633,1690,1681,1659,1646,1518,1501,1509,426.042,4.13,0.96,0.99,0.415869797,0.547,0.164234982,0.617734871,3.077161407,3.614667099,3.419850625,3.377601269,3.748456725,3.274325067,4.544152924,3.025523305,5.020631769,3.037259237,5.701315833,3.004398627,6.745813793,3.429239371,7.013393046,3.480877472,7.16830735,3.563028997,7.055642401,3.626403031,6.703564437,3.626403031,6.062782543,3.832955436,4.947868989,3.966745063,4.473737331,3.945620385,3.924495707,3.893982283,3.325963168,3.86346886,3.398725947,3.563028997,3.821219504,3.523126828,4.577013534,3.541904319,
CL,2014,42,,W,3.61,5295,1547.282,342.329,339.65,156.115,178.191,76.837,246.293,1247,1405,1559,1811,1965,2229,2597,2741,2783,2751,2625,2331,1953,1799,1593,1363,1395,1557,1825,1575,1483,1429,1363,1363,1379,1469,1465,1495,1525,1555,1657,1715,1713,1709,1695,1553,1553,1535,429.01,3.61,0.8,0.79,0.363895947,0.415,0.179103051,0.574096175,2.906692152,3.671243095,3.274981935,3.456795879,3.633947927,3.330924687,4.221346822,3.177082119,4.580312813,3.177082119,5.195683084,3.214377287,6.053471947,3.424162607,6.389128459,3.414838815,6.487028274,3.484767255,6.412437939,3.554695695,6.118738491,3.624624135,5.43343978,3.86238083,4.552341437,3.997575814,4.193375446,3.992913918,3.713200159,3.983590126,3.177082119,3.950956854,3.251672455,3.619962239,3.629286031,3.619962239,4.253980094,3.578005175,
CL,2014,43,,W,5.32,5297,2265.753,522.31,513.71,198.363,237.36,61.774,326.711,844,1012,1180,1626,1884,2296,2826,3010,3080,3026,2848,2538,1834,1606,1242,948,1010,1186,1608,1551,1459,1391,1289,1277,1285,1335,1331,1355,1415,1479,1661,1811,1809,1741,1677,1517,1517,1547,426.011,5.32,1.23,1.21,0.465628822,0.557,0.145005645,0.766907427,1.9811695,3.64075106,2.375525515,3.424794195,2.769881529,3.265173904,3.816802853,3.025743467,4.422421017,2.99757518,5.389532195,3.016354038,6.633631526,3.133721899,7.065545256,3.12433247,7.229860262,3.180669044,7.103102972,3.321510477,6.685273385,3.47174134,5.957592644,3.898960355,4.305053156,4.25106394,3.769855708,4.246369225,2.915417677,4.086748934,2.225294652,3.936518071,2.3708308,3.560940915,2.783965672,3.560940915,3.774550422,3.631361632,
CL,2014,44,,W,4.01,5298,1707.319,396.102,396.045,176.465,193.866,78.23,292.588,1280,1464,1616,1938,2136,2402,2794,2926,2966,2914,2816,2470,2072,1896,1710,1394,1462,1624,1932,1437,1347,1293,1217,1211,1237,1363,1379,1413,1449,1457,1571,1613,1607,1593,1561,1421,1415,1421,426,4.01,0.93,0.93,0.414237089,0.455,0.183638498,0.686826291,3.004694836,3.373239437,3.436619718,3.161971831,3.79342723,3.035211268,4.549295775,2.856807512,5.014084507,2.842723005,5.638497653,2.903755869,6.558685446,3.199530516,6.868544601,3.237089202,6.962441315,3.316901408,6.840375587,3.401408451,6.610328638,3.420187793,5.798122066,3.687793427,4.863849765,3.786384977,4.450704225,3.772300469,4.014084507,3.73943662,3.272300469,3.664319249,3.431924883,3.335680751,3.812206573,3.321596244,4.535211268,3.335680751,
CL,2014,45,,W,3.54,5299,1507.317,318.509,312.231,144.125,140.584,51.614,216.083,1328,1444,1590,1848,2030,2270,2622,2770,2814,2748,2628,2372,1996,1840,1650,1426,1452,1596,1858,1419,1349,1281,1215,1215,1231,1321,1339,1373,1399,1421,1507,1541,1547,1539,1527,1399,1389,1381,426,3.54,0.75,0.73,0.338321596,0.33,0.121159624,0.507237089,3.117370892,3.330985915,3.389671362,3.166666667,3.732394366,3.007042254,4.338028169,2.852112676,4.765258216,2.852112676,5.328638498,2.889671362,6.154929577,3.100938967,6.502347418,3.143192488,6.605633803,3.223004695,6.450704225,3.284037559,6.169014085,3.335680751,5.568075117,3.537558685,4.685446009,3.617370892,4.319248826,3.631455399,3.873239437,3.612676056,3.34741784,3.584507042,3.408450704,3.284037559,3.746478873,3.26056338,4.361502347,3.241784038,
CL,2014,46,,W,3.74,5300,1591.248,369.049,366.049,186.387,134.833,50.912,256.531,1184,1294,1454,1750,1928,2174,2556,2664,2736,2682,2566,2280,1882,1722,1514,1268,1294,1446,1736,1495,1431,1375,1309,1307,1317,1413,1425,1461,1491,1505,1623,1685,1673,1659,1629,1485,1485,1475,426,3.74,0.87,0.86,0.437528169,0.317,0.119511737,0.602185446,2.779342723,3.509389671,3.037558685,3.35915493,3.41314554,3.227699531,4.107981221,3.072769953,4.525821596,3.068075117,5.103286385,3.091549296,6,3.316901408,6.253521127,3.345070423,6.422535211,3.429577465,6.295774648,3.5,6.023474178,3.53286385,5.352112676,3.809859155,4.417840376,3.955399061,4.042253521,3.927230047,3.55399061,3.894366197,2.976525822,3.823943662,3.037558685,3.485915493,3.394366197,3.485915493,4.075117371,3.462441315,
CL,2014,47,,W,3.9,5302,1650.614,369.049,387.012,164.754,180,78.23,241.495,1410,1538,1680,1988,2182,2492,2876,3000,3064,2998,2898,2634,2140,1960,1752,1498,1540,1696,1978,1411,1339,1291,1213,1203,1229,1381,1429,1467,1485,1477,1549,1601,1577,1555,1511,1395,1399,1407,423.011,3.9,0.87,0.91,0.389479233,0.426,0.184936089,0.57089532,3.333246653,3.335610658,3.635839257,3.165402318,3.971527927,3.051930092,4.69964138,2.867537724,5.158258296,2.843897676,5.891099759,2.905361799,6.798877571,3.264690516,7.092014156,3.378162743,7.243310458,3.467994922,7.087286146,3.510547007,6.850885674,3.491634969,6.226788429,3.661843309,5.058970098,3.784771554,4.633449248,3.728035441,4.141736267,3.676027337,3.541279068,3.57201113,3.640567267,3.297786582,4.009352003,3.307242601,4.676001333,3.326154639,
CL,2014,48,,W,4.08,5304,1726.043,372.109,372.109,163.768,190.589,51.264,264.068,1168,1306,1460,1782,1984,2258,2696,2814,2876,2824,2710,2364,1928,1756,1560,1270,1306,1468,1792,1401,1333,1287,1229,1243,1259,1343,1325,1349,1395,1423,1565,1613,1599,1591,1539,1397,1395,1409,423,4.08,0.88,0.88,0.387158392,0.451,0.121191489,0.624274232,2.761229314,3.312056738,3.087470449,3.151300236,3.451536643,3.042553191,4.212765957,2.905437352,4.690307329,2.938534279,5.338061466,2.976359338,6.373522459,3.174940898,6.65248227,3.132387707,6.799054374,3.189125296,6.676122931,3.29787234,6.406619385,3.364066194,5.588652482,3.699763593,4.557919622,3.813238771,4.151300236,3.780141844,3.687943262,3.761229314,3.002364066,3.638297872,3.087470449,3.302600473,3.470449173,3.29787234,4.236406619,3.330969267,
CL,2014,49,,W,3.51,5306,1494.771,339.013,324.014,152.971,152.971,42.426,260.5,1540,1664,1818,2098,2254,2506,2848,2976,3028,2992,2858,2598,2224,2058,1886,1644,1666,1816,2094,1409,1329,1267,1225,1233,1251,1323,1341,1365,1391,1417,1509,1563,1559,1543,1513,1395,1401,1407,426.011,3.51,0.8,0.76,0.359077583,0.359,0.099588978,0.611486558,3.614930131,3.307426334,3.906002427,3.119637756,4.26749544,2.974101608,4.924755464,2.875512604,5.290943192,2.894291462,5.882477213,2.936543892,6.685273385,3.105553612,6.98573511,3.147806043,7.107797686,3.204142616,7.023292826,3.265173904,6.708746957,3.326205192,6.098434078,3.542162057,5.220522475,3.668919347,4.830861175,3.659529918,4.427115732,3.621972203,3.859055283,3.551551486,3.910697142,3.274563333,4.262800726,3.288647476,4.915366035,3.30273162,
CL,2014,5,,W,3.93,5240,1603.238,381.012,414.011,120,163.878,38.419,277.042,1544,1672,1814,2096,2292,2582,2940,3080,3138,3076,2954,2716,2230,2082,1850,1630,1668,1820,2094,1331,1269,1229,1155,1149,1159,1253,1249,1269,1309,1335,1453,1555,1533,1477,1427,1335,1329,1351,408,3.93,0.93,1.01,0.294117647,0.402,0.094164216,0.67902451,3.784313725,3.262254902,4.098039216,3.110294118,4.446078431,3.012254902,5.137254902,2.830882353,5.617647059,2.816176471,6.328431373,2.840686275,7.205882353,3.071078431,7.549019608,3.06127451,7.691176471,3.110294118,7.539215686,3.208333333,7.240196078,3.272058824,6.656862745,3.56127451,5.465686275,3.81127451,5.102941176,3.757352941,4.534313725,3.620098039,3.995098039,3.49754902,4.088235294,3.272058824,4.460784314,3.257352941,5.132352941,3.31127451,
CL,2014,50,,W,5.18,5308,2208.263,513.009,534.135,273.905,279.177,69.971,348.465,948,1122,1306,1716,1972,2362,2902,3060,3150,3082,2938,2630,1934,1702,1362,1048,1126,1312,1734,1373,1299,1263,1189,1181,1183,1233,1229,1269,1311,1359,1575,1721,1699,1625,1525,1369,1365,1427,426.042,5.18,1.2,1.25,0.642906099,0.655,0.164234982,0.817912319,2.225132733,3.222686965,2.633543172,3.048995169,3.065425474,2.964496458,4.02777191,2.790804662,4.628651635,2.772027171,5.544054342,2.776721544,6.811535013,2.894080865,7.182390469,2.88469212,7.393637247,2.978579577,7.23402857,3.077161407,6.896033724,3.189826355,6.173100305,3.696818624,4.539458551,4.039507842,3.9949113,3.987869741,3.196867914,3.814177945,2.459851376,3.579459302,2.642931918,3.213298219,3.079508593,3.203909474,4.070021266,3.349435032,
