population,year,individual,sex,species,std.length,photo.id,std.length.raw,depth.spine.1,depth.spine.2,spine.length.1,spine.length.2,spine.length.3,spine.length.pelvic,lndmrk.x1,lndmrk.x2,lndmrk.x3,lndmrk.x4,lndmrk.x5,lndmrk.x6,lndmrk.x7,lndmrk.x8,lndmrk.x9,lndmrk.x10,lndmrk.x11,lndmrk.x12,lndmrk.x13,lndmrk.x14,lndmrk.x15,lndmrk.x16,lndmrk.x17,lndmrk.x18,lndmrk.x19,lndmrk.y1,lndmrk.y2,lndmrk.y3,lndmrk.y4,lndmrk.y5,lndmrk.y6,lndmrk.y7,lndmrk.y8,lndmrk.y9,lndmrk.y10,lndmrk.y11,lndmrk.y12,lndmrk.y13,lndmrk.y14,lndmrk.y15,lndmrk.y16,lndmrk.y17,lndmrk.y18,lndmrk.y19,correction,std.length,depth.1,depth.2,spine.1,spine.2,spine.3,spine.pelvic,x.1,y.1,x.2,y.2,x.3,y.3,x.4,y.4,x.5,y.5,x.6,y.6,x.7,y.7,x.8,y.8,x.9,y.9,x.10,y.10,x.11,y.11,x.12,y.12,x.13,y.13,x.14,y.14,x.15,y.15,x.16,y.16,x.17,y.17,x.18,y.18,x.19,y.19,notes
AL-S,2014,2,,C,4.68,11,1827.121,468.087,453.486,199.449,230.825,56.604,306.94,920,1036,1116,1256,1244,1228,1024,948,876,880,888,864,800,788,792,812,984,996,1024,522,674,834,1210,1410,1722,2178,2302,2346,2250,2138,1810,1394,1234,986,666,698,874,1238,390.104,4.68,1.2,1.16,0.511271353,0.592,0.145099768,0.786815824,2.358345467,1.338104711,2.655702069,1.727744396,2.860775588,2.137891434,3.219654246,3.101736973,3.188893218,3.61442077,3.147878514,4.414207493,2.624941041,5.583126551,2.430121198,5.900990505,2.245555031,6.01378094,2.255808707,5.767692718,2.276316059,5.480589791,2.214794004,4.639788364,2.050735189,3.573406066,2.019974161,3.163259028,2.030227837,2.52753112,2.081496216,1.707237044,2.522404282,1.789266452,2.55316531,2.240428194,2.624941041,3.173512704,
AL-S,2014,3,,C,5.18,12,2020.874,483.335,471.239,193.215,214.663,76.837,252.642,952,1076,1156,1284,1304,1296,1132,1084,1024,996,1004,908,848,832,828,836,1024,1032,1052,542,698,830,1258,1482,1786,2342,2474,2550,2462,2326,1962,1470,1286,1082,690,706,894,1262,390.012,5.18,1.24,1.21,0.495407834,0.55,0.197011887,0.647780068,2.440950535,1.38970083,2.75888947,1.789688522,2.964011364,2.128139647,3.292206394,3.225541778,3.343486867,3.799883081,3.322974678,4.579346277,2.902474796,6.004943438,2.779401659,6.343394562,2.625560239,6.538260361,2.553767576,6.312626278,2.574279766,5.963919059,2.328133493,5.030614443,2.174292073,3.769114796,2.133267694,3.297334441,2.1230116,2.774273612,2.143523789,1.769176333,2.625560239,1.810200712,2.646072429,2.292237162,2.697352902,3.235797873,
AL-S,2014,4,,C,4.23,2,1661.28,312.231,324.014,218.156,230.825,84.853,300.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393.011,4.23,0.79,0.82,0.555088789,0.587,0.215904898,0.76471142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AL-S,2014,5,,C,4.98,13,1925.703,471.086,471.153,NA,NA,NA,NA,1004,1080,1136,1260,1256,1248,1140,1120,1092,1040,1000,876,800,800,832,880,1016,1016,1036,570,686,818,1198,1426,1778,2234,2390,2474,2398,2238,1950,1410,1222,974,674,710,862,1238,387.012,4.98,1.22,1.22,NA,NA,NA,NA,2.594234804,1.472822548,2.790611144,1.772554856,2.935309499,2.113629552,3.255713001,3.09551125,3.245377404,3.68464027,3.224706211,4.594172791,2.945645096,5.772430829,2.893967112,6.175519105,2.821617934,6.392566639,2.687255176,6.196190299,2.583899207,5.782766426,2.263495706,5.038603454,2.067119366,3.643297882,2.067119366,3.157524831,2.14980414,2.516717828,2.273831302,1.741548066,2.625241595,1.834568437,2.625241595,2.227321117,2.676919579,3.198867219,
AL-S,2014,6,,C,4.8,14,1872.695,450,444.041,218.403,263.454,85.276,342.473,892,996,1056,1172,1160,1132,996,964,932,892,868,760,724,740,760,760,924,944,936,594,734,862,1290,1502,1842,2286,2406,2482,2426,2262,1950,1458,1278,1054,734,774,922,1274,390.012,4.8,1.15,1.14,0.559990462,0.676,0.218649683,0.878108879,2.287109115,1.523030061,2.553767576,1.881993375,2.707608997,2.210188404,3.005035742,3.307590536,2.974267458,3.851163554,2.902474796,4.722931602,2.553767576,5.861358112,2.471718819,6.169040953,2.389670061,6.363906752,2.287109115,6.220321426,2.225572546,5.799821544,1.94865799,4.999846159,1.856353138,3.738346512,1.897377517,3.276822252,1.94865799,2.702480949,1.94865799,1.881993375,2.369157872,1.984554321,2.420438345,2.364029825,2.399926156,3.266566157,
AL-S,2014,7,,C,4.66,15,1830.157,459.01,462,231.836,220.617,86.533,300.24,960,1032,1096,1188,1196,1184,1020,1004,968,916,904,800,748,752,780,840,984,980,984,490,626,762,1138,1358,1686,2102,2226,2314,2246,2130,1822,1306,1142,946,610,650,806,1150,393.046,4.66,1.17,1.18,0.589844446,0.561,0.220159981,0.763880055,2.442462205,1.246673417,2.625646871,1.592688896,2.788477685,1.938704376,3.022546979,2.895335406,3.042900831,3.455066328,3.012370053,4.289574248,2.595116093,5.347974537,2.55440839,5.663459239,2.462816057,5.887351608,2.330516021,5.714343868,2.299985243,5.419213018,2.035385171,4.635589727,1.903085135,3.322766292,1.913262061,2.905512332,1.984500542,2.406842965,2.13715443,1.551981193,2.503523761,1.653750452,2.493346835,2.05065056,2.503523761,2.925866184,
AL-S,2014,8,,C,4.98,16,1943.523,462.01,447.01,230.825,247.095,75.18,330.872,1064,1164,1220,1284,1272,1248,1164,1180,1148,1104,1044,880,840,840,872,920,1104,1104,1076,490,674,822,1230,1446,1726,2226,2358,2430,2370,2238,1870,1406,1242,918,634,682,870,1254,390.046,4.98,1.18,1.15,0.591789174,0.634,0.192746497,0.848289689,2.727883378,1.256262082,2.984263395,1.728001313,3.127836204,2.107443737,3.291919415,3.153474206,3.261153813,3.707255042,3.199622609,4.425119089,2.984263395,5.707019172,3.025284197,6.045440794,2.943242592,6.230034406,2.830435385,6.076206396,2.676607375,5.737784774,2.256144147,4.794306313,2.15359214,3.604703035,2.15359214,3.184239808,2.235633746,2.353568553,2.358696154,1.625449306,2.830435385,1.748511714,2.830435385,2.230506145,2.75864898,3.21500541,
AL-S,2014,9,,C,4.98,17,1927.336,441.01,426.011,220.78,246.658,60,300.24,1056,1136,1180,1260,1236,1208,1176,1212,1220,1132,1028,852,824,824,868,920,1080,1084,1068,682,854,1010,1394,1618,1930,2350,2498,2586,2550,2374,2038,1550,1394,1090,814,866,1034,1398,387.047,4.98,1.14,1.1,0.57042168,0.637,0.155019933,0.775719745,2.72835082,1.762059905,2.935044064,2.206450379,3.048725349,2.609502205,3.255418593,3.601629776,3.193410619,4.180370859,3.121067984,4.986474511,3.038390686,6.071614042,3.131402646,6.453996543,3.152071971,6.681359111,2.924709402,6.588347152,2.656008185,6.133622015,2.201283048,5.26551039,2.128940413,4.004681602,2.128940413,3.601629776,2.242621697,2.816195449,2.376972306,2.103103757,2.790358794,2.237454366,2.800693456,2.671510178,2.759354807,3.611964438,
AL,2014,1,,B,6.01,5362,2541.126,606.007,600.067,296.378,299.58,85.907,390,816,1032,1248,1680,1968,2454,3072,3228,3330,3264,3078,2712,1896,1632,1296,930,1038,1242,1698,1392,1278,1200,1104,1086,1128,1230,1230,1284,1332,1392,1584,1710,1704,1632,1560,1350,1332,1386,423,6.01,1.43,1.42,0.70065721,0.708,0.203089835,0.921985816,1.929078014,3.290780142,2.439716312,3.021276596,2.95035461,2.836879433,3.971631206,2.609929078,4.65248227,2.567375887,5.80141844,2.666666667,7.262411348,2.907801418,7.631205674,2.907801418,7.872340426,3.035460993,7.716312057,3.14893617,7.276595745,3.290780142,6.411347518,3.744680851,4.482269504,4.042553191,3.858156028,4.028368794,3.063829787,3.858156028,2.19858156,3.687943262,2.453900709,3.191489362,2.936170213,3.14893617,4.014184397,3.276595745,
AL,2014,10,,B,5.62,5372,2379.093,555.203,588.191,258.836,225.858,60,366.786,783,963,1161,1599,1902,2289,2769,3084,3138,3069,2898,2535,1809,1593,1254,918,969,1155,1608,1313,1202,1136,1064,1061,1085,1202,1259,1304,1361,1385,1529,1637,1613,1541,1460,1295,1313,1334,423.043,5.62,1.31,1.39,0.611843241,0.534,0.141829554,0.867018246,1.850875679,3.103703406,2.276364341,2.841318731,2.744401869,2.685306222,3.779757613,2.515110757,4.495996861,2.508019279,5.410797484,2.564751101,6.545433916,2.841318731,7.290039074,2.976056807,7.417685673,3.082428973,7.254581686,3.217167049,6.850367457,3.273898871,5.992298655,3.6142898,4.276161052,3.869582997,3.765574658,3.812851176,2.964237678,3.642655711,2.169992176,3.451185813,2.290547297,3.06115454,2.730218914,3.103703406,3.801032046,3.15334375,
