population,year,individual,std.length
CL,2014,60,4.25
CL,2014,61,3.6
CL,2014,62,3.72
CL,2014,63,3.49
CL,2014,64,5.82
CL,2014,65,3.7
CL,2014,7,4.25
CL,2014,8,5.38
CL,2014,9,5.49
CPN,2014,1,5.83
CPN,2014,10,5.17
CPN,2014,11,5.14
CPN,2014,12,5.06
CPN,2014,13,5.06
CPN,2014,14,5.27
CPN,2014,15,5.39
CPN,2014,16,5.16
CPN,2014,17,4.73
CPN,2014,18,5.35
CPN,2014,19,5.66
CPN,2014,2,4.93
CPN,2014,20,5.1
CPN,2014,21,5.18
CPN,2014,22,5.49
CPN,2014,23,5.03
CPN,2014,24,4.86
CPN,2014,25,4.98
CPN,2014,26,5.17
CPN,2014,26,5.18
CPN,2014,27,5.66
CPN,2014,27,5.58
CPN,2014,28,4.98
CPN,2014,28,4.92
CPN,2014,29,4.92
CPN,2014,29,4.97
CPN,2014,3,5.86
CPN,2014,30,4.78
CPN,2014,30,4.83
CPN,2014,31,4.65
CPN,2014,31,4.73
CPN,2014,32,4.93
CPN,2014,32,4.84
CPN,2014,33,5.07
CPN,2014,33,5.06
CPN,2014,34,5.44
CPN,2014,34,5.44
CPN,2014,35,3.56
CPN,2014,35,3.56
CPN,2014,36,3.45
CPN,2014,36,3.38
CPN,2014,4,5.94
CPN,2014,5,5.4
CPN,2014,6,5.54
CPN,2014,7,5.01
CPN,2014,8,4.71
CPN,2014,9,5.07
CPS,2014,1,5.28
CPS,2014,10,5.21
CPS,2014,11,5.16
CPS,2014,12,5.07
CPS,2014,13,5.06
CPS,2014,14,5.31
CPS,2014,15,3.79
CPS,2014,16,4.01
CPS,2014,17,3.33
CPS,2014,2,5.52
CPS,2014,3,5.46
CPS,2014,4,5.3
CPS,2014,5,4.96
CPS,2014,6,5.24
CPS,2014,6A,3.84
CPS,2014,7,5.7
CPS,2014,8,4.75
CPS,2014,9,5.5
CPSE,2014,1,4.81
CPSE,2014,10,4.98
CPSE,2014,11,5.46
CPSE,2014,12,4.91
CPSE,2014,13,4.8
CPSE,2014,14,4.58
CPSE,2014,15,5.13
CPSE,2014,16,5.67
CPSE,2014,17,5.14
CPSE,2014,18,5.29
CPSE,2014,19,5.85
CPSE,2014,2,4.95
CPSE,2014,20,4.96
CPSE,2014,21,5
CPSE,2014,22,5.02
CPSE,2014,23,5.34
CPSE,2014,24,5.21
CPSE,2014,25,5.02
CPSE,2014,26,5.42
CPSE,2014,27,5.17
CPSE,2014,28,4.95
CPSE,2014,29,5.39
CPSE,2014,3,5.87
CPSE,2014,30,5.35
CPSE,2014,31,5.41
CPSE,2014,32,5.13
CPSE,2014,33,5.33
CPSE,2014,34,5.51
CPSE,2014,35,5.01
CPSE,2014,36,5.55
CPSE,2014,37,5.11
CPSE,2014,38,4.82
CPSE,2014,39,5.42
CPSE,2014,4,5.03
CPSE,2014,40,5.83
CPSE,2014,5,5.08
CPSE,2014,6,5.51
CPSE,2014,7,5.9
CPSE,2014,8,4.85
CPSE,2014,9,5.75
FTGC,2014,1,5.33
FTGC,2014,10,5.42
FTGC,2014,11,5.16
FTGC,2014,12,5.79
FTGC,2014,13,5.15
FTGC,2014,14,5.05
FTGC,2014,2,5.48
FTGC,2014,3,5.19
FTGC,2014,4,5.44
FTGC,2014,5,5.66
FTGC,2014,6,5.16
FTGC,2014,7,5.59
FTGC,2014,8,5.25
FTGC,2014,9,5.44
GC,2014,1,6.15
GC,2014,10,6.17
GC,2014,11,5.36
GC,2014,12,5.96
GC,2014,13,4.35
GC,2014,14,5.66
GC,2014,15,4.69
GC,2014,16,6.12
GC,2014,17,5.29
GC,2014,18,6.16
GC,2014,19,5.25
GC,2014,2,5.18
GC,2014,20,5.27
GC,2014,21,5.95
GC,2014,22,5.18
GC,2014,23,5.42
GC,2014,24,5.3
GC,2014,25,5.37
GC,2014,26,5.38
GC,2014,27,5.5
GC,2014,28,6.4
GC,2014,29,5.95
GC,2014,3,5.45
GC,2014,30,5.17
GC,2014,31,5.37
GC,2014,32,4.59
GC,2014,33,5.29
GC,2014,34,6.21
GC,2014,35,5.1
GC,2014,36,6.07
GC,2014,37,5.44
GC,2014,38,6.28
GC,2014,39,5.3
GC,2014,4,5.6
GC,2014,40,6.15
GC,2014,41,6.33
GC,2014,42,5.18
GC,2014,43,5.71
GC,2014,44,5.58
GC,2014,45,5.47
GC,2014,46,5.09
GC,2014,47,6.23
GC,2014,48,4.94
GC,2014,49,5.35
GC,2014,5,5.52
GC,2014,50,5.05
GC,2014,51,5.54
GC,2014,6,5.21
GC,2014,7,4.93
GC,2014,8,5.07
GC,2014,9,5.21
LN,2014,1,5.49
LN,2014,10,5.27
LN,2014,11,5.33
LN,2014,12,5.35
LN,2014,13,5.57
LN,2014,14,5.84
LN,2014,15,5.44
LN,2014,16,5.37
LN,2014,17,5.06
LN,2014,18,5.25
LN,2014,19,4.89
LN,2014,2,5.29
LN,2014,20,5.45
LN,2014,21,5.41
LN,2014,22,5.32
LN,2014,23,5.04
LN,2014,24,5.05
LN,2014,25,5.5
LN,2014,26,4.96
LN,2014,27,5.45
LN,2014,28,4.92
LN,2014,29,5.45
LN,2014,3,5.29
LN,2014,30,4.76
LN,2014,4,5.67
LN,2014,5,5.29
LN,2014,6,5.46
LN,2014,7,5.1
LN,2014,8,5.78
LN,2014,9,5.49
MB,2014,1,6.23
MB,2014,10,5.49
MB,2014,11,5.42
MB,2014,12,5.64
MB,2014,13,5.51
MB,2014,14,5.77
MB,2014,15,5.92
MB,2014,16,6.15
MB,2014,17,4.99
MB,2014,18,5.22
MB,2014,19,6.04
MB,2014,2,5.18
MB,2014,20,4.04
MB,2014,21,4.84
MB,2014,22,5.64
MB,2014,23,5.39
MB,2014,24,5.29
MB,2014,25,5.42
MB,2014,26,6.26
MB,2014,27,4.61
MB,2014,28,4.6
MB,2014,29,4.91
MB,2014,3,6.06
MB,2014,30,4.76
MB,2014,31,4.92
MB,2014,32,4.68
MB,2014,33,5.32
MB,2014,34,5.59
MB,2014,35,5.14
MB,2014,36,4.17
MB,2014,37,5.34
MB,2014,38,5.31
MB,2014,4,6.34
MB,2014,5,5.72
MB,2014,6,5.02
MB,2014,7,5.88
MB,2014,8,5
MB,2014,9,5.1
MH,2014,1,4.13
MH,2014,10,4.58
MH,2014,11,3.81
MH,2014,12,4.37
MH,2014,13,4.25
MH,2014,14,4.2
MH,2014,15,4.84
MH,2014,16,4.56
MH,2014,17,4.13
MH,2014,18,4.69
MH,2014,19,4.55
MH,2014,2,5.01
MH,2014,20,4.11
MH,2014,21,4.17
MH,2014,22,4.6
MH,2014,23,4.26
MH,2014,24,5.02
MH,2014,25,4.19
MH,2014,26,5.17
MH,2014,27,4.42
MH,2014,28,4.21
MH,2014,29,4.14
MH,2014,3,4.95
MH,2014,30,4.29
MH,2014,31,4.23
MH,2014,32,3.72
MH,2014,33,4.74
MH,2014,34,3.83
MH,2014,35,3.9
MH,2014,36,3.9
MH,2014,37,4.29
MH,2014,38,3.48
MH,2014,39,4.45
MH,2014,4,3.23
MH,2014,40,4.74
MH,2014,41,4.13
MH,2014,42,4.29
MH,2014,43,4.34
MH,2014,5,4.31
MH,2014,6,3.55
MH,2014,7,3.9
MH,2014,8,4.04
MH,2014,9,4.3
MR,2014,1,5.05
MR,2014,10,5.16
MR,2014,11,4.05
MR,2014,12,4.16
MR,2014,13,4.51
MR,2014,14,5.16
MR,2014,15,5.09
MR,2014,16,3.82
MR,2014,17,5.61
MR,2014,18,5.49
MR,2014,19,3.49
MR,2014,2,5.28
MR,2014,20,4.56
MR,2014,21,4.66
MR,2014,22,5.82
MR,2014,23,5.09
MR,2014,24,5.05
MR,2014,25,4.9
MR,2014,26,5.44
MR,2014,27,5.39
MR,2014,28,4.47
MR,2014,29,4.71
MR,2014,3,4.88
MR,2014,30,4.8
MR,2014,31,5
MR,2014,32,4.73
MR,2014,33,5.4
MR,2014,34,5.6
MR,2014,35,5.29
MR,2014,36,4.24
MR,2014,37,5.48
MR,2014,38,3.89
MR,2014,39,3.81
MR,2014,4,5.18
MR,2014,40,5.14
MR,2014,41,4.11
MR,2014,42,5.85
MR,2014,43,4.4
MR,2014,44,4.26
MR,2014,45,4.8
MR,2014,46,4.06
MR,2014,47,5.21
MR,2014,48,4.24
MR,2014,49,4.09
MR,2014,5,5.58
MR,2014,50,3.8
MR,2014,51,5.27
MR,2014,52,3.48
MR,2014,53,5.96
MR,2014,54,3.79
MR,2014,55,4.98
MR,2014,56,4.96
MR,2014,57,5.66
MR,2014,58,5.55
MR,2014,59,5.2
MR,2014,6,4.87
MR,2014,60,4.22
MR,2014,61,3.66
MR,2014,62,3.29
MR,2014,63,4.34
MR,2014,64,3.38
MR,2014,65,4.03
MR,2014,66,4.71
MR,2014,67,4.71
MR,2014,68,4.56
MR,2014,69,3.73
MR,2014,7,6.22
MR,2014,8,5.5
MR,2014,9,5.05
PP,2014,1,3.93
PP,2014,1,3.68
PP,2014,10,3.96
PP,2014,11,3.84
PP,2014,12,3.86
PP,2014,13,4.07
PP,2014,14,3.53
PP,2014,15,3.62
PP,2014,16,4.12
PP,2014,17,3.98
PP,2014,18,5.2
PP,2014,19,4.29
PP,2014,2,3.65
PP,2014,20,3.91
PP,2014,21,4.15
PP,2014,22,4
PP,2014,23,4.14
PP,2014,24,3.8
PP,2014,25,4.25
PP,2014,26,3.75
