pop1 ecotype1 pop2 ecotype2 geography ecology group reg1 reg2 geography2 group2 fst
constance lake mh white allo D allo_D sl ns allo allo_D 0.465241
constance lake misty lake allo S allo_S sl bc allo allo_S 0.571437
constance lake misty stream allo D allo_D sl bc allo allo_D 0.570603
constance lake roberts lake allo S allo_S sl bc allo allo_S 0.502892
constance lake roberts stream allo D allo_D sl bc allo allo_D 0.570409
constance lake sk marine allo D allo_D sl ns allo allo_D 0.486542
constance lake sr marine allo D allo_D sl ns allo allo_D 0.499605
constance lake sr white allo D allo_D sl ns allo allo_D 0.493688
constance stream al marine allo D allo_D sl ns allo allo_D 0.480958
constance stream cl marine allo D allo_D sl ns allo allo_D 0.490586
constance stream cl white allo D allo_D sl ns allo allo_D 0.494227
constance stream cp marine allo D allo_D sl ns allo allo_D 0.474061
constance stream geneva lake allo D allo_D sl sl para para_D 0.359844
constance stream geneva stream allo S allo_S sl sl para para_S 0.383643
constance stream joes lake allo D allo_D sl bc allo allo_D 0.672943
constance stream joes stream allo S allo_S sl bc allo allo_S 0.672266
constance stream ln marine allo D allo_D sl ns allo allo_D 0.478822
constance stream mh marine allo D allo_D sl ns allo allo_D 0.468242
constance stream mh white allo D allo_D sl ns allo allo_D 0.440856
constance stream misty lake allo D allo_D sl bc allo allo_D 0.563753
constance stream misty stream allo S allo_S sl bc allo allo_S 0.563433
constance stream roberts lake allo D allo_D sl bc allo allo_D 0.495071
constance stream roberts stream allo S allo_S sl bc allo allo_S 0.560938
constance stream sk marine allo D allo_D sl ns allo allo_D 0.474324
constance stream sr marine allo D allo_D sl ns allo allo_D 0.487312
constance stream sr white allo D allo_D sl ns allo allo_D 0.489742
cp marine ln marine allo S allo_S ns ns para para_S 0.013552
cp marine mh marine allo S allo_S ns ns para para_S 0.0107474
cp marine mh white allo D allo_D ns ns para para_D 0.0181298
cp marine sk marine allo S allo_S ns ns para para_S 0.0199925
cp marine sr marine allo S allo_S ns ns para para_S 0.0019832
cp marine sr white allo D allo_D ns ns para para_D 0.0161696
cr stream al marine allo D allo_D or ns allo allo_D 0.773433
cr stream bea lake allo D allo_D or al allo allo_D 0.698538
cr stream boot lake allo D allo_D or bc allo allo_D 0.747568
cr stream boot stream allo S allo_S or bc allo allo_S 0.766409
cr stream cl marine allo D allo_D or ns allo allo_D 0.789128
cr stream cl white allo D allo_D or ns allo allo_D 0.774917
cr stream constance lake allo D allo_D or sl allo allo_D 0.801928
cr stream constance stream allo S allo_S or sl allo allo_S 0.793715
cr stream cp marine allo D allo_D or ns allo allo_D 0.767671
cr stream cs marine allo D allo_D or or para para_D 0.534742
cr stream denmark marine allo D allo_D or ne allo allo_D 0.800683
cr stream geneva lake allo D allo_D or sl allo allo_D 0.814466
cr stream geneva stream allo S allo_S or sl allo allo_S 0.81903
cr stream hadsten lake allo D allo_D or ne allo allo_D 0.808416
