"pop" "id.raw" "id" "k.value.run" "X1" "X2" "X3" "membership"
"65" "LN" "whtstbk_gbs_2015_L1_brds_LN13" "LN13" 1 1 NA NA 1
"66" "LN" "whtstbk_gbs_2015_L1_brds_LN16" "LN16" 1 1 NA NA 1
"67" "LN" "whtstbk_gbs_2015_L1_brds_LN19" "LN19" 1 1 NA NA 1
"68" "LN" "whtstbk_gbs_2015_L1_brds_LN22" "LN22" 1 1 NA NA 1
"69" "LN" "whtstbk_gbs_2015_L1_brds_LN25" "LN25" 1 1 NA NA 1
"70" "LN" "whtstbk_gbs_2015_L1_brds_LN3" "LN3" 1 1 NA NA 1
"71" "LN" "whtstbk_gbs_2015_L1_brds_LN4" "LN4" 1 1 NA NA 1
"72" "LN" "whtstbk_gbs_2015_L1_brds_LN6" "LN6" 1 1 NA NA 1
"73" "LN" "whtstbk_gbs_2015_L1_brds_LN7" "LN7" 1 1 NA NA 1
"74" "LN" "whtstbk_gbs_2015_L1_brds_LN9" "LN9" 1 1 NA NA 1
"75" "MH" "whtstbk_gbs_2015_L1_brds_MH10" "MH10" 1 1 NA NA 1
"76" "MH" "whtstbk_gbs_2015_L1_brds_MH16" "MH16" 1 1 NA NA 1
"77" "MH" "whtstbk_gbs_2015_L1_brds_MH19" "MH19" 1 1 NA NA 1
"78" "MH" "whtstbk_gbs_2015_L1_brds_MH21" "MH21" 1 1 NA NA 1
"79" "MH" "whtstbk_gbs_2015_L1_brds_MH22" "MH22" 1 1 NA NA 1
"80" "MH" "whtstbk_gbs_2015_L1_brds_MH29" "MH29" 1 1 NA NA 1
"81" "MH" "whtstbk_gbs_2015_L1_brds_MH35" "MH35" 1 1 NA NA 1
"82" "MH" "whtstbk_gbs_2015_L1_brds_MH36" "MH36" 1 1 NA NA 1
"83" "MH" "whtstbk_gbs_2015_L1_brds_MH5" "MH5" 1 1 NA NA 1
"84" "MM" "whtstbk_gbs_2015_L1_brds_MM2" "MM2" 1 1 NA NA 1
"85" "MR" "whtstbk_gbs_2015_L1_brds_MR1" "MR1" 1 1 NA NA 1
"86" "MR" "whtstbk_gbs_2015_L1_brds_MR15" "MR15" 1 1 NA NA 1
"87" "MR" "whtstbk_gbs_2015_L1_brds_MR18" "MR18" 1 1 NA NA 1
"88" "MR" "whtstbk_gbs_2015_L1_brds_MR4" "MR4" 1 1 NA NA 1
"89" "MR" "whtstbk_gbs_2015_L1_brds_MR47" "MR47" 1 1 NA NA 1
"90" "MR" "whtstbk_gbs_2015_L1_brds_MR58" "MR58" 1 1 NA NA 1
"91" "MR" "whtstbk_gbs_2015_L1_brds_MR9" "MR9" 1 1 NA NA 1
"92" "QR" "whtstbk_gbs_2015_L1_brds_QR2" "QR2" 1 1 NA NA 1
